FoodId;DanName;ProdName;EngName;SysName;MainGrp;SubGrp;Waste;NCF;FACF;PEF;FEF;CEF;Density;Remarks;PublStatus;LanguaL;GRIN;FISHBASE;BASIS;USDA;FIFood;UKFood;FRFood;DEFood;SEFood;NOFood;NLFood;ISFood;SPFood;ITFood;DateUpdated;UpdatedBy;Recipe;WaterYield;FatYield
0001;Abrikos, tørret;;Apricot, dried;Prunus armeniaca L.;06;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0002;Agurk, rå;;Cucumber, raw;Cucumis sativus L.;05;30;5;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0003;Ananas, rå;;Pineapple, raw;Ananas comosus (L.) Merr.;06;40;47;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0004;Ananas, konserves;;Pineapple, canned;Ananas comosus (L.) Merr.;06;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0005;Appelsin, rå;;Orange, raw;Citrus sinensis (L.) Pers.;06;40;29;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0006;And, kød og skind, rå;;Duck, flesh and skin, raw;Anas platyrhynchos;09;20;28;6.25;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0007;And, kød, rå;;Duck, flesh only, raw;Anas platyrhynchos;09;20;66;6.25;0.775;;;;;;1;;;;;;;;;;;;;;;;;;;;
0008;Asparges, uspec., rå;;Asparagus, all types, raw;Asparagus officinalis L.;05;20;47;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0009;Asparges, konserves;;Asparagus, canned;Asparagus officinalis L.;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0010;Aubergine, rå;;Aubergine (eggplant), raw;Solanum melongena L.;05;30;25;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0011;Avocado, rå;;Avocado, raw;Persea americana Miller;06;20;29;6.25;0.956;;;;;;1;;;;;;;;;;;;;;;;;;;;
0012;Svinebryst, kogestykke, helt, saltet;;Pork, belly, whole cut, cured, raw;Sus scrofa L.;07;70;0;6.25;0.910;;;;;;1;;;;;;;;;;;;;;;;;;;;
0013;Svinebryst, stegestykke, helt, saltet;;Pork, belly, streaky bacon, whole cut, cured, raw;Sus scrofa L.;07;70;0;6.25;0.930;;;;;;1;;;;;;;;;;;;;;;;;;;;
0014;Banan, rå;;Banana, raw;Musa x paradisiaca L.;06;40;40;6.25;0.730;;;;;;1;;;;;;;;;;;;;;;;;;;;
0015;Bladselleri, rå;;Celery, raw;Apium graveolens L. var. dulce;05;20;20;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0016;Blodpølse;;Black pudding (boiled);;07;70;0;6.25;0.920;;;;;;1;;;;;;;;;;;;;;;;;;;;
0017;Blomkål, uspec., rå;;Cauliflower, all varieties, raw;Brassica oleracea L. convar. botrytis;05;20;8;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0018;Blomme, rå;;Plum, raw;Prunus domestica L.;06;20;6;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0019;Blæksprutte, rå;;Octopus, raw;Octopus bimaculatus;08;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0020;Blåbær, rå;;Bilberry, raw;Vaccinium myrtillus L.;06;30;2;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0021;Broccoli, rå;;Broccoli, raw;Brassica oleracea var. Italica;05;20;22;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0022;Brombær, rå;;Blackberry, raw;Rubus fructicosus L.;06;30;4;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0023;Brøndkarse, rå;;Watercress, raw;Nasturtium officinalis R. Br.;05;70;10;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0024;Byggryn, rå;;Barley groats, raw;Hordeum vulgare L.;04;20;0;5.83;0.720;;;;;;1;;;;;;;;;;;;;;;;;;;;
0025;Hvide bønner, tørrede;;Beans, white, dried;Phaseolus vulgaris L.;05;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0026;Grønne bønner, konserves;;Beans, green, canned;Phaseolus vulgaris L.;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0027;Grønne bønner, dybfrost;;Beans, green, frozen;Phaseolus vulgaris L.;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0028;Grønne bønner, rå;;Beans, green, raw;Phaseolus vulgaris L.;05;40;12;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0029;Brune bønner, tørrede;;Beans, brown, dried;Phaseolus vulgaris L.;05;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0030;Voksbønner, rå;;Beans, wax, raw;Phaseolus vulgaris L.;05;40;12;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0031;Voksbønner, konserves;;Beans, wax, canned;Phaseolus vulgaris L.;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0032;Sojabønner, tørrede;;Beans, soy, dried;Glycine max (L.) Merr..;05;40;0;6.25;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0033;Bønnespirer, soja, rå;;Beansprouts, soy, raw;Glycine max. (L.) Merr.;05;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0034;Bønnespirer, soja, konserves;;Beansprouts, soy, canned;Glycine max (L.) Merr.;05;90;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0035;Cacao, pulver;;Cocoa, powder;;13;10;0;6.25;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0036;Cacao, instant, uden mælk, pulver;;Cocoa, instant, without milk, powder;;13;10;0;6.25;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0037;Champignon, rå;;Mushroom, raw;Agaricus bisporus forma albus;05;60;11;6.25;0.770;;;;;;1;;;;;;;;;;;;;;;;;;;;
0038;Flødechokolade;;Chocolate, milk;;12;90;0;6.25;0.940;;;;;;1;;;;;;;;;;;;;;;;;;;;
0039;Mørk chokolade;;Chocolate, bitter;;12;90;0;6.25;0.950;;;;;;1;;;;;;;;;;;;;;;;;;;;
0040;Citron, rå;;Lemon, raw;Citrus limon (L.) Burm. f.;06;40;33;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0041;Citronsaft, friskpresset;;Lemon juice, fresh;Citrus limon (L.) Burm. f.;06;40;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0042;Mineralvand, sodavand, Cola;;Carbonated drinks, Cola;;13;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0043;Cornflakes, uspec.;;Cornflakes, average values;;04;60;0;6.25;0.930;;;;;;1;;;;;;;;;;;;;;;;;;;;
0044;Daddel, tørret;;Date, dried;Phoenix dactylifera L.;06;10;14;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0045;Dild, rå;;Dill, raw;Anethum graveolens L.;05;70;10;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0046;Eddike;;Vinegar;;14;20;0;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
0047;Due, kød og skind, rå;;Squab (pigeon), raw;Columba spp.;09;30;23;6.25;0.890;;;;;;1;;;;;;;;;;;;;;;;;;;;
0048;Due, kød, rå;;Squab (pigeon), flesh, raw;Columba spp.;09;30;35;6.25;0.829;;;;;;1;;;;;;;;;;;;;;;;;;;;
0049;Fersken, rå;;Peach, raw;Prunus persica (L.) Batsch;06;20;13;6.25;0.800;;;;;;1;;;;;;;;;;;;;;;;;;;;
