MainGrp;NameDK;NameEn
01;Mælk og mælkeprodukter;Milk and milk products
02;Ost og osteprodukter;Cheese and cheese products
03;Konsumis;Ice cream, fruit ice and other edible ices
04;Korn og stivelsesprodukter;Cereals and cereal products
05;Grøntsager og grøntsagsprodukter;Vegetables and vegetable products
06;Frugt og frugtprodukter;Fruit and fruit products
07;Kød og kødprodukter;Meat and meat products
08;Fisk og fiskeprodukter;Fish and fish products
09;Fjerkræ og fjerkræprodukter;Poultry and poultry products
10;Æg og ægprodukter;Egg and egg products
11;Fedtstoffer og fedtstoprodukter;Fats, oils and their products
12;Sukker, honning og sukkervarer;Sugar, honey and products thereof
13;Drikkevarer;Beverages
14;Krydderier og andre hjælpestoffer;Spices and other ingredients
15;Sammensatte fødevarer;Mixed foods
16;Fødevarer til særlig ernæring;Food for special nutritional use
17;Andre fødevarer;Other foods
