FoodId;CompId;BestLoc;Median;Minimum;Maximum;NoAnal;SourceId
0001;0000;1159;;;;;00050
0001;0001;2.9;;2.6;3.5;4;05165
0001;0002;0.5;;0.4;0.6;4;00050
0001;0003;1.7;;1.5;1.9;2;05165
0001;0004;0.1;10.3;;;;00050
0001;0005;0.6;44.8;;;;00050
0001;0006;0.6;44.8;;;;00050
0001;0008;66.5;;62.9;68.8;4;05165
0001;0009;0.0;;;;;00000
0001;0010;9.3;;7.1;13.8;4;05165
0001;0011;0.0;;;;;00000
0001;0012;2.8;;1.7;3.5;4;05165
0001;0013;26.2;;23.8;29.1;4;05165
0001;0014;199;;;;;00050
0001;0015;0;;;;;00802
0001;0016;2390;1865;1270;4540;4;05148
0001;0023;0;;;;;00802
0001;0026;4.0;;3.04;4.95;2;00128
0001;0027;4.0;;3.04;4.95;2;00128
0001;0036;0;;0.003;;3;00113
0001;0037;0.060;;0.058;0.065;2;00116
0001;0038;3.03;;;;;00050
0001;0039;2.8;;2.50;3.20;10;00112
0001;0040;0.233;;;;;00050
0001;0041;0.17;;;;;00802
0001;0045;0.70;;;;;00802
0001;0046;1.0;;;;;00050
0001;0047;14;;;;;00802
0001;0049;0;;;;;00802
0001;0050;1.00;;;;;00050
0001;0051;1.0;;0.700;1.40;3;05278
0001;0056;21;;19.8;23.0;3;00152
0001;0057;1026;;983;1062;3;00152
0001;0058;67.5;;38.3;89.6;6;00109
0001;0059;41;;35.0;48.2;3;00152
0001;0060;65.7;;54.2;77.4;6;00109
0001;0061;6;;;;;00137
0001;0064;0.27;;;;;00802
0001;0065;0.2;;;;;00802
0001;0066;3.4;;;;;00149
0001;0067;0.235;;0.173;0.282;3;05278
0001;0068;80;;59.0;100;2;00173
0001;0069;2.2;;;;;05234
0001;0072;120;;110;130;2;00173
0001;0124;4.5;;;;;00908
0001;0126;8.1;;;;;00908
0001;0132;29.3;;;;;00908
0001;0138;41.9;;;;;00050
0001;0144;0;;;;;00802
0001;0174;0.000;;;;3;05278
0001;0175;0.000;;;;3;05278
0001;0176;0.000;;;;3;05278
0001;0177;0.000;;;;3;05278
0001;0178;0.000;;;;3;05278
0001;0179;0.000;;;;3;05278
0001;0180;0.000;;;;3;05278
0001;0181;0.140;10.3;0.017;0.017;3;05278
0001;0182;0.000;;;;3;05278
0001;0183;0.000;;;;3;05278
0001;0184;0.000;;;;3;05278
0001;0185;0.000;;;;3;05278
0001;0007;57.2;;;;;00050
0001;0186;0.000;;;;3;05278
0001;0188;0.140;10.3;;;;00050
0001;0189;0.000;;;;3;05278
0001;0191;0.000;;;;3;05278
0001;0193;0.610;44.8;0.074;0.074;3;05278
0001;0197;0.000;;;;3;05278
0001;0198;0.000;;;;3;05278
0001;0202;0.610;44.8;;;;00050
0001;0203;0.610;44.8;0.074;0.074;3;05278
0001;0206;0.000;;;;3;05278
0001;0208;0.000;;;;3;05278
0001;0211;0.000;;;;3;05278
0001;0212;0.000;;;;3;05278
0001;0214;0.000;;;;3;05278
0001;0215;0.000;;;;3;05278
0001;0217;0.610;44.8;;;;00050
0001;0218;0.000;;;;;00050
0001;0219;0.610;44.8;;;;00050
0001;0223;0;;;;;00000
0001;0236;79;170;;;1;00153
0001;0237;140;290;;;1;00153
0001;0238;120;250;;;1;00153
0001;0239;19;41;;;1;00153
0001;0240;1;3;;;1;00153
0001;0241;79;170;;;1;00153
0001;0242;36;78;;;1;00153
0001;0243;65;140;;;1;00153
0001;0244;14;31;;;1;00153
0001;0245;120;250;;;1;00153
0001;0246;60;130;;;1;00153
0001;0247;44;95;;;1;00153
0001;0248;100;220;;;1;00153
0001;0249;580;1240;;;1;00153
0001;0250;120;260;;;1;00153
0001;0251;70;150;;;1;00153
0001;0252;770;1660;;;1;00153
0001;0253;93;200;;;1;00153
0002;0000;45;;;;;00050
0002;0001;0.7;;0.5;0.9;26;90404
0002;0002;0.1;;0.1;0.2;26;00050
0002;0003;0.1;;0.0;0.1;4;90126
0002;0004;0.0;41.3;;;;00050
