RefId;PubTypeId;AcqTypeId;Title;Authors;Publishr;PubDate;Version;OrigLang;Languages;ISBN;FstEdDat;EdNo;NoPages;BkTitle;Editors;Pages;LgJrName;AbJrName;ISSN;Volume;Issue;SeriName;SeriNo;RprtTitle;FileFrmt;WWW;Medium;OS;Media;Valid;Remarks;FoodId;DateUpdated;UpdatedBy;DocLink
00000;E;E;Naturlig nulværdi for indhold. Ikke analyseret.;Logical zero value. Not analysed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00005;E;E;Anslået værdi på basis af forskellige kilder eller ved skøn fra værdi på nært stående produkt.;Imputed value based on data from different sources or similar product;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00009;E;E;Anslået værdi på grundlag af data for lignende produkt. Svagere end 00005 eller Txxxx.;Imputed value based on data for similar product. Weaker than 00005 or Txxxx.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00050;E;E;Værdi beregnet ved omregning af forskellige analysedata.;Value achieved by calculation of different analytical data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00055;E;E;EDB-beregning på basis af opskrift.;Computer calculated value based on recipe.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00056;E;E;EDB-beregning på basis af opskrift. Manglende oplysninger for enkelte ingredienser.;Computer calculated value based on recipe. Missing nutrient values for certain ingredients.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00100;E;S;Analytical results.;Statens Levnedsmiddelinstitut.;Not published.;;;;;;;;;;;;;;;;;;;;;;;;;;;;2005-05-08;AM;
00109;R;O;Tabelværdier for Calcium og Phosphor i danske levnedsmidler.;Petersen, J., Petersen, A.;Levnedsmiddelstyrelsen;April 1996;;da;da;;;;;;;;Intern rapport IL;;;;;;;;;;;;;;Projektnr. 94441-01.;;2005-05-08;AM;
00111;AJ;O;Indhold af ascorbinsyre i danske levnedsmidler.;Hjarde, W., Lieck, H., Porotnikoff, O. og Uhl, E.;Statens Husholdningsråd;1954;;da;da;;;;;;;1-7;Faglige Meddelelser;Fagl. Medd.;;;10-12;;;;;;;;;;;;2005-05-07;AM;DOC00111.pdf
00112;AJ;O;Statens Vitaminlaboratoriums undersøgelser af nikotinsyreindholdet i danske næringsmidler.;Lieck, H.;Statens Husholdningsråd;1954;;da;da;;;;;;;41-46;Faglige Meddelelser;Fagl. Medd.;;;10-12;;;;;;;;;;;;2005-05-07;AM;DOC00112.pdf
00113;AJ;O;Statens Vitaminlaboratoriums undersøgelser af B1-vitaminindholdet i danske næringsmidler;Hjarde, W.;Statens Husholdningsråd;1955;;da;da;;;;;;;9-16;Faglige meddelelser;Fagl. Medd.;;;3-4;;;;;;;;;;;;2005-05-07;AM;DOC00113.pdf
00114;AJ;O;Statens Vitaminlaboratoriums undersøgelser af inholdet af A-vitamin-aktivt caroten i danske vegetabilske næringsmidler.;Bro-Rasmussen, F.;Statens Husholdningsråd;1956;;da;da;;;;;;;5-9;Faglige meddelelser;Fagl. Medd.;;;2-3;;;;;;;;;;;;2005-05-07;AM;DOC00114.pdf
00115;AJ;O;Statens Vitaminlaboratoriums undersøgelser over danske mejeriprodukters  indhold af A-vitamin og caroten.;Bro-Rasmussen, F.;Statens Husholdningsråd;1956;;da;da;;;;;;;37-40;Faglige Meddelelser;Fagl. Medd.;;;10;;;;;;;;;;;;2005-05-07;AM;DOC00115.pdf
00116;AJ;O;Statens vitamin-laboratoriums undersøgelser af B2-vitaminindholdet i danske næringsmidler.;"Hjarde, W.; Lieck, H.";Statens Husholdningsråd;1957;;da;da;;;;;;;9-16;Faglige Meddelelser;Fagl. Medd.;;;3-4;;;;;;;;;;;;2005-05-07;AM;DOC00116.pdf
