SourceRefId;SourceID;RefId
0000000000;00000;00000
0000500005;00005;00005
0000900009;00009;00009
0005000050;00050;00050
0005500055;00055;00055
0005600056;00056;00056
0010000100;00100;00100
0010900109;00109;00109
0011100111;00111;00111
0011200112;00112;00112
0011300113;00113;00113
0011400114;00114;00114
0011500115;00115;00115
0011600116;00116;00116
0011800118;00118;00118
0011900119;00119;00119
0012100121;00121;00121
0012300123;00123;00123
0012400124;00124;00124
0012500125;00125;00125
0012600126;00126;00126
0012700127;00127;00127
0012800128;00128;00128
0012900129;00129;00129
0013300133;00133;00133
0013400134;00134;00134
0013500135;00135;00135
0013600136;00136;00136
0013700137;00137;00137
0013800138;00138;00138
0013900139;00139;00139
0014000140;00140;00140
0014100141;00141;00141
0014300143;00143;00143
0014400144;00144;00144
0014600146;00146;00146
0014700147;00147;00147
0014900149;00149;00149
0015000150;00150;00150
0015100151;00151;00151
0015200152;00152;00152
0015300153;00153;00153
0015400154;00154;00154
0015500155;00155;00155
0015600156;00156;00156
0015700157;00157;00157
0015800158;00158;00158
0015900159;00159;00159
0016000160;00160;00160
0016100161;00161;00161
0016200162;00162;00162
0016300163;00163;00163
0016400164;00164;00164
0016500165;00165;00165
0016600166;00166;00166
0016700167;00167;00167
0016800168;00168;00168
0017000170;00170;00170
0017100171;00171;00171
0017300173;00173;00173
0017400174;00174;00174
0017500175;00175;00175
0017600176;00176;00176
0017700177;00177;00177
0018100181;00181;00181
0018200182;00182;00182
0019100191;00191;00191
0019300193;00193;00193
0019700197;00197;00197
0019800198;00198;00198
0019900199;00199;00199
0021300213;00213;00213
0021900219;00219;00219
0022100221;00221;00221
0022200222;00222;00222
0022300223;00223;00223
0025900259;00259;00259
0026200262;00262;00262
0031400314;00314;00314
0031700317;00317;00317
0031800318;00318;00318
0032100321;00321;00321
0032200322;00322;00322
0032400324;00324;00324
0032800328;00328;00328
0032900329;00329;00329
0033000330;00330;00330
0033100331;00331;00331
0033200332;00332;00332
0033300333;00333;00333
0033400334;00334;00334
0034100341;00341;00341
0034800348;00348;00348
0035200352;00352;00352
0036900369;00369;00369
0037200372;00372;00372
0039300393;00393;00393
0039500395;00395;00395
0039600396;00396;00396
0039700397;00397;00397
0039800398;00398;00398
0040300403;00403;00403
0040400404;00404;00404
0040700407;00407;00407
0040800408;00408;00408
0040900409;00409;00409
0041100411;00411;00411
0041300413;00413;00413
0041400414;00414;00414
0041600416;00416;00416
0041700417;00417;00417
0041900419;00419;00419
0050100501;00501;00501
0050200502;00502;00502
0050300503;00503;00503
0050500505;00505;00505
0050700507;00507;00507
0051000510;00510;00510
0051400514;00514;00514
0051500515;00515;00515
0051900519;00519;00519
0052000520;00520;00520
0052100521;00521;00521
0052200522;00522;00522
0052300523;00523;00523
0070100701;00701;00701
0070300703;00703;00703
0070400704;00704;00704
0070500705;00705;00705
0080000800;00800;00800
0080100801;00801;00801
0080200802;00802;00802
0080300803;00803;00803
0080400804;00804;00804
0080500805;00805;00805
0080600806;00806;00806
0080700807;00807;00807
0080800808;00808;00808
0080900809;00809;00809
0081000810;00810;00810
0081100811;00811;00811
0081200812;00812;00812
0081400814;00814;00814
0081600816;00816;00816
0081700817;00817;00817
0081800818;00818;00818
0082200822;00822;00822
0082300823;00823;00823
0082700827;00827;00827
0085000850;00850;00850
0090100901;00901;00901
0090200902;00902;00902
0090300903;00903;00903
0090400904;00904;00904
0090500905;00905;00905
0090600906;00906;00906
0090800908;00908;00908
0090900909;00909;00909
0091000910;00910;00910
